match_id,date,competition,stage,team,opponent,is_home,goals,goals_conceded,result,clean_sheet,xg,xg_conceded,shots,shots_on_target,big_chances,possession_pct,passes,passes_completed,pass_completion_pct,key_passes,assists,crosses,pressures,counterpressures,tackles,tackles_won,interceptions,blocks,clearances,dribbles_attempted,dribbles_completed,fouls_committed,advanced
7525,2018-06-14,FIFA World Cup 2018,Group Stage,Russia,Saudi Arabia,1.0,5,0,win,1,1.2816009420000003,0.2488064999999999,14.0,7.0,0.0,40.4,388.0,272.0,70.1,8.0,4.0,8.0,147.0,26.0,20.0,13.0,4.0,16.0,9.0,12.0,7.0,23.0,
7525,2018-06-14,FIFA World Cup 2018,Group Stage,Saudi Arabia,Russia,0.0,0,5,loss,0,0.2488064999999999,1.2816009420000003,6.0,0.0,0.0,59.6,572.0,458.0,80.1,4.0,0.0,6.0,121.0,30.0,21.0,13.0,7.0,22.0,16.0,11.0,4.0,12.0,
7576,2018-06-15,FIFA World Cup 2018,Group Stage,Portugal,Spain,1.0,3,3,draw,0,1.4345957889999998,1.6609466705,10.0,3.0,1.0,33.2,388.0,318.0,82.0,5.0,0.0,8.0,267.0,28.0,10.0,4.0,6.0,8.0,8.0,13.0,7.0,13.0,
7576,2018-06-15,FIFA World Cup 2018,Group Stage,Spain,Portugal,0.0,3,3,draw,0,1.6609466705,1.4345957889999998,12.0,5.0,1.0,66.8,780.0,714.0,91.5,7.0,1.0,11.0,215.0,35.0,13.0,7.0,12.0,12.0,8.0,23.0,17.0,11.0,
7577,2018-06-15,FIFA World Cup 2018,Group Stage,Morocco,Iran,1.0,0,1,loss,0,1.0591950265,0.6975558777,14.0,3.0,0.0,64.8,492.0,397.0,80.7,10.0,0.0,13.0,149.0,40.0,9.0,5.0,9.0,18.0,14.0,29.0,15.0,22.0,
7577,2018-06-15,FIFA World Cup 2018,Group Stage,Iran,Morocco,0.0,1,0,win,1,0.6975558777,1.0591950265,8.0,2.0,0.0,35.2,267.0,144.0,53.9,2.0,0.0,6.0,208.0,42.0,19.0,11.0,9.0,9.0,12.0,10.0,6.0,16.0,
7578,2018-06-15,FIFA World Cup 2018,Group Stage,Egypt,Uruguay,1.0,0,1,loss,0,0.364488455,1.940818593,8.0,3.0,0.0,42.9,469.0,344.0,73.3,2.0,0.0,10.0,166.0,26.0,27.0,20.0,16.0,17.0,13.0,9.0,4.0,16.0,
7578,2018-06-15,FIFA World Cup 2018,Group Stage,Uruguay,Egypt,0.0,1,0,win,1,1.940818593,0.364488455,16.0,4.0,2.0,57.1,623.0,513.0,82.3,10.0,1.0,13.0,119.0,31.0,14.0,10.0,21.0,20.0,9.0,15.0,5.0,7.0,
7529,2018-06-16,FIFA World Cup 2018,Group Stage,Croatia,Nigeria,1.0,2,0,win,1,1.6944666339999996,0.7623215977000002,11.0,2.0,2.0,54.2,503.0,389.0,77.3,9.0,0.0,16.0,160.0,30.0,14.0,8.0,14.0,14.0,22.0,10.0,7.0,21.0,
7529,2018-06-16,FIFA World Cup 2018,Group Stage,Nigeria,Croatia,0.0,0,2,loss,0,0.7623215977000002,1.6944666339999996,13.0,2.0,0.0,45.8,425.0,319.0,75.1,10.0,0.0,10.0,152.0,29.0,9.0,4.0,6.0,15.0,16.0,16.0,12.0,15.0,
