match_id,date,competition,stage,team,opponent,is_home,goals,goals_conceded,result,clean_sheet,xg,xg_conceded,advanced
202600,2026-06-11,FIFA World Cup 2026,Group,Mexico,South Africa,,2,0,win,1,1.41,0.07,
202600,2026-06-11,FIFA World Cup 2026,Group,South Africa,Mexico,,0,2,loss,0,0.07,1.41,
202601,2026-06-11,FIFA World Cup 2026,Group,South Korea,Czech Republic,,2,1,win,0,1.84,0.81,
202601,2026-06-11,FIFA World Cup 2026,Group,Czech Republic,South Korea,,1,2,loss,0,0.81,1.84,
202602,2026-06-12,FIFA World Cup 2026,Group,Canada,Bosnia and Herzegovina,,1,1,draw,0,1.25,0.98,
202602,2026-06-12,FIFA World Cup 2026,Group,Bosnia and Herzegovina,Canada,,1,1,draw,0,0.98,1.25,
202603,2026-06-12,FIFA World Cup 2026,Group,United States,Paraguay,,4,1,win,0,1.35,0.47,
202603,2026-06-12,FIFA World Cup 2026,Group,Paraguay,United States,,1,4,loss,0,0.47,1.35,
202604,2026-06-13,FIFA World Cup 2026,Group,Qatar,Switzerland,,1,1,draw,0,0.76,3.24,
202604,2026-06-13,FIFA World Cup 2026,Group,Switzerland,Qatar,,1,1,draw,0,3.24,0.76,
202605,2026-06-13,FIFA World Cup 2026,Group,Brazil,Morocco,,1,1,draw,0,1.23,1.53,
202605,2026-06-13,FIFA World Cup 2026,Group,Morocco,Brazil,,1,1,draw,0,1.53,1.23,
202606,2026-06-13,FIFA World Cup 2026,Group,Haiti,Scotland,,0,1,loss,0,1.21,1.05,
202606,2026-06-13,FIFA World Cup 2026,Group,Scotland,Haiti,,1,0,win,1,1.05,1.21,
202607,2026-06-13,FIFA World Cup 2026,Group,Australia,Turkey,,2,0,win,1,0.77,1.33,
202607,2026-06-13,FIFA World Cup 2026,Group,Turkey,Australia,,0,2,loss,0,1.33,0.77,
202608,2026-06-14,FIFA World Cup 2026,Group,Germany,Curaçao,,7,1,win,0,4.22,0.41,
202608,2026-06-14,FIFA World Cup 2026,Group,Curaçao,Germany,,1,7,loss,0,0.41,4.22,
202609,2026-06-14,FIFA World Cup 2026,Group,Netherlands,Japan,,1,1,draw,0,0.78,0.59,
202609,2026-06-14,FIFA World Cup 2026,Group,Japan,Netherlands,,1,1,draw,0,0.59,0.78,
202610,2026-06-14,FIFA World Cup 2026,Group,Ivory Coast,Ecuador,,1,0,win,1,1.68,1.03,
202610,2026-06-14,FIFA World Cup 2026,Group,Ecuador,Ivory Coast,,0,1,loss,0,1.03,1.68,
202611,2026-06-14,FIFA World Cup 2026,Group,Sweden,Tunisia,,5,1,win,0,1.36,0.28,
202611,2026-06-14,FIFA World Cup 2026,Group,Tunisia,Sweden,,1,5,loss,0,0.28,1.36,
202612,2026-06-15,FIFA World Cup 2026,Group,Spain,Cape Verde,,0,0,draw,1,2.29,0.3,
202612,2026-06-15,FIFA World Cup 2026,Group,Cape Verde,Spain,,0,0,draw,1,0.3,2.29,
202613,2026-06-15,FIFA World Cup 2026,Group,Belgium,Egypt,,1,1,draw,0,1.35,1.08,
202613,2026-06-15,FIFA World Cup 2026,Group,Egypt,Belgium,,1,1,draw,0,1.08,1.35,
202614,2026-06-15,FIFA World Cup 2026,Group,Saudi Arabia,Uruguay,,1,1,draw,0,0.99,1.54,
202614,2026-06-15,FIFA World Cup 2026,Group,Uruguay,Saudi Arabia,,1,1,draw,0,1.54,0.99,
202615,2026-06-15,FIFA World Cup 2026,Group,Iran,New Zealand,,2,2,draw,0,1.5,1.24,
202615,2026-06-15,FIFA World Cup 2026,Group,New Zealand,Iran,,2,2,draw,0,1.24,1.5,
202616,2026-06-16,FIFA World Cup 2026,Group,France,Senegal,,3,1,win,0,1.79,0.56,
202616,2026-06-16,FIFA World Cup 2026,Group,Senegal,France,,1,3,loss,0,0.56,1.79,
202617,2026-06-16,FIFA World Cup 2026,Group,Iraq,Norway,,1,4,loss,0,0.77,2.53,
202617,2026-06-16,FIFA World Cup 2026,Group,Norway,Iraq,,4,1,win,0,2.53,0.77,
202618,2026-06-16,FIFA World Cup 2026,Group,Argentina,Algeria,,3,1,win,0,1.23,0.31,
202618,2026-06-16,FIFA World Cup 2026,Group,Algeria,Argentina,,1,3,loss,0,0.31,1.23,
202619,2026-06-16,FIFA World Cup 2026,Group,Austria,Jordan,,3,1,win,0,1.66,0.53,
202619,2026-06-16,FIFA World Cup 2026,Group,Jordan,Austria,,1,3,loss,0,0.53,1.66,
202620,2026-06-17,FIFA World Cup 2026,Group,Portugal,DR Congo,,1,1,draw,0,0.64,0.82,
202620,2026-06-17,FIFA World Cup 2026,Group,DR Congo,Portugal,,1,1,draw,0,0.82,0.64,
202621,2026-06-17,FIFA World Cup 2026,Group,England,Croatia,,4,2,win,0,2.8,0.71,
202621,2026-06-17,FIFA World Cup 2026,Group,Croatia,England,,2,4,loss,0,0.71,2.8,
202622,2026-06-17,FIFA World Cup 2026,Group,Ghana,Panama,,1,0,win,1,1.31,0.75,
202622,2026-06-17,FIFA World Cup 2026,Group,Panama,Ghana,,0,1,loss,0,0.75,1.31,
202623,2026-06-17,FIFA World Cup 2026,Group,Uzbekistan,Colombia,,1,3,loss,0,1.16,1.62,
202623,2026-06-17,FIFA World Cup 2026,Group,Colombia,Uzbekistan,,3,1,win,0,1.62,1.16,
202624,2026-06-18,FIFA World Cup 2026,Group,Czech Republic,South Africa,,1,1,draw,0,1.02,1.39,
202624,2026-06-18,FIFA World Cup 2026,Group,South Africa,Czech Republic,,1,1,draw,0,1.39,1.02,
202625,2026-06-18,FIFA World Cup 2026,Group,Switzerland,Bosnia and Herzegovina,,4,1,win,0,2.06,0.23,
202625,2026-06-18,FIFA World Cup 2026,Group,Bosnia and Herzegovina,Switzerland,,1,4,loss,0,0.23,2.06,
202626,2026-06-18,FIFA World Cup 2026,Group,Canada,Qatar,,6,0,win,1,4.75,0.18,
202626,2026-06-18,FIFA World Cup 2026,Group,Qatar,Canada,,0,6,loss,0,0.18,4.75,
202627,2026-06-19,FIFA World Cup 2026,Group,Mexico,South Korea,,1,0,win,1,0.48,0.69,
202627,2026-06-19,FIFA World Cup 2026,Group,South Korea,Mexico,,0,1,loss,0,0.69,0.48,
202628,2026-06-19,FIFA World Cup 2026,Group,United States,Australia,,2,0,win,1,1.08,0.35,
202628,2026-06-19,FIFA World Cup 2026,Group,Australia,United States,,0,2,loss,0,0.35,1.08,
