competition,team,player,position,age,matches_covered,as_of,appearances,sub_appearances,goals,assists,shots,shots_on_target,fouls_committed,fouls_suffered,yellow_cards,red_cards,saves,goals_against,source
FIFA World Cup 2026,England,Jordan Pickford,GK,32,6,2026-07-12,6,0,,0,,,0,3,0,0,12.0,6.0,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Dean Henderson,GK,29,6,2026-07-12,0,0,,0,,,0,0,0,0,0.0,0.0,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,James Trafford,GK,23,6,2026-07-12,0,0,,0,,,0,0,0,0,0.0,0.0,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Ezri Konsa,DF,28,6,2026-07-12,6,0,0.0,0,2.0,1.0,7,11,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Nico O'Reilly,DF,21,6,2026-07-12,6,1,0.0,0,7.0,1.0,6,4,1,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,John Stones,DF,32,6,2026-07-12,4,2,0.0,0,0.0,0.0,1,1,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Marc Guéhi,DF,25,6,2026-07-12,6,1,0.0,0,1.0,0.0,2,11,1,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Trevoh Chalobah,DF,27,6,2026-07-12,0,0,0.0,0,0.0,0.0,0,0,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Dan Burn,DF,34,6,2026-07-12,2,2,0.0,0,0.0,0.0,0,0,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Reece James,DF,26,6,2026-07-12,3,1,0.0,0,1.0,0.0,2,0,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Djed Spence,DF,25,6,2026-07-12,6,4,0.0,0,2.0,2.0,1,2,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Jarell Quansah,DF,23,6,2026-07-12,2,0,0.0,0,0.0,0.0,1,0,1,1,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Declan Rice,MF,27,6,2026-07-12,5,0,0.0,1,4.0,1.0,3,0,2,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Elliot Anderson,MF,23,6,2026-07-12,6,0,0.0,1,7.0,1.0,7,9,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Jude Bellingham,MF,23,6,2026-07-12,6,0,6.0,1,17.0,11.0,6,12,1,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Jordan Henderson,MF,36,6,2026-07-12,1,1,0.0,0,0.0,0.0,0,1,1,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Kobbie Mainoo,MF,21,6,2026-07-12,0,0,0.0,0,0.0,0.0,0,0,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Eberechi Eze,MF,28,6,2026-07-12,4,4,0.0,0,2.0,0.0,1,3,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Bukayo Saka,FW,24,6,2026-07-12,6,4,0.0,3,8.0,3.0,4,7,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Harry Kane,FW,32,6,2026-07-12,6,0,6.0,1,22.0,12.0,8,8,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Marcus Rashford,FW,28,6,2026-07-12,4,2,1.0,0,9.0,3.0,5,1,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Morgan Rogers,FW,23,6,2026-07-12,5,4,0.0,0,1.0,1.0,3,2,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Anthony Gordon,FW,25,6,2026-07-12,5,1,0.0,3,5.0,3.0,3,9,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Ollie Watkins,FW,30,6,2026-07-12,1,1,0.0,0,0.0,0.0,0,0,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Noni Madueke,FW,24,6,2026-07-12,5,1,0.0,0,6.0,1.0,2,3,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
FIFA World Cup 2026,England,Ivan Toney,FW,30,6,2026-07-12,0,0,0.0,0,0.0,0.0,0,0,0,0,,,ESPN squad pages (espn.com/soccer/team/squad)
